catalog,model,calibrator,n_test,auc,f1,precision,recall,ece,brier,nll
comcat_global_m4,catboost,raw,81783,0.94301,0.88813,0.80268,0.99394,0.01196,0.07781,0.24376
comcat_global_m4,catboost,platt,81783,0.94301,0.88813,0.80717,0.98714,0.00676,0.07756,0.24292
comcat_global_m4,catboost,isotonic,81783,0.94288,0.88813,0.80323,0.99308,0.00442,0.07749,0.24301
comcat_global_m4,catboost,temperature,81783,0.94301,0.88813,0.80268,0.99394,0.00729,0.0776,0.24308
comcat_global_m4,xgboost,raw,81783,0.94312,0.89044,0.80927,0.98971,0.00879,0.07692,0.24179
comcat_global_m4,xgboost,platt,81783,0.94312,0.88987,0.8111,0.98557,0.00746,0.07684,0.24151
comcat_global_m4,xgboost,isotonic,81783,0.94303,0.89054,0.80892,0.99048,0.00404,0.07677,0.24143
comcat_global_m4,xgboost,temperature,81783,0.94312,0.89044,0.80927,0.98971,0.00714,0.07685,0.24161
comcat_global_m4,lightgbm,raw,81783,0.94323,0.89045,0.80644,0.994,0.02967,0.07782,0.26036
comcat_global_m4,lightgbm,platt,81783,0.94323,0.88667,0.81631,0.97032,0.01791,0.07766,0.24455
comcat_global_m4,lightgbm,isotonic,81783,0.94307,0.89022,0.8084,0.99048,0.00408,0.07683,0.24198
comcat_global_m4,lightgbm,temperature,81783,0.94323,0.89045,0.80644,0.994,0.03096,0.07823,0.25386
scedc_socal_m25,catboost,raw,11878,0.97482,0.88687,0.83589,0.94447,0.00868,0.05318,0.16839
scedc_socal_m25,catboost,platt,11878,0.97482,0.8894,0.8312,0.95635,0.00852,0.05317,0.16842
scedc_socal_m25,catboost,isotonic,11878,0.9746,0.88716,0.83661,0.94421,0.00449,0.0532,0.17065
scedc_socal_m25,catboost,temperature,11878,0.97482,0.88687,0.83589,0.94447,0.00869,0.05318,0.1684
scedc_socal_m25,xgboost,raw,11878,0.9747,0.88711,0.84757,0.93053,0.01541,0.05342,0.17089
scedc_socal_m25,xgboost,platt,11878,0.9747,0.88835,0.83791,0.94525,0.00531,0.05275,0.16697
scedc_socal_m25,xgboost,isotonic,11878,0.97452,0.88964,0.83458,0.95248,0.00803,0.0533,0.1692
scedc_socal_m25,xgboost,temperature,11878,0.9747,0.88711,0.84757,0.93053,0.00634,0.0529,0.16718
scedc_socal_m25,lightgbm,raw,11878,0.97402,0.88448,0.84619,0.92639,0.01828,0.05415,0.17615
scedc_socal_m25,lightgbm,platt,11878,0.97402,0.88988,0.83243,0.95584,0.00736,0.05316,0.16887
scedc_socal_m25,lightgbm,isotonic,11878,0.97374,0.88509,0.84431,0.93001,0.00795,0.05351,0.17214
scedc_socal_m25,lightgbm,temperature,11878,0.97402,0.88448,0.84619,0.92639,0.00934,0.05338,0.16935
comcat_himalaya_m4,catboost,raw,707,0.89072,0.93598,0.88333,0.99531,0.0625,0.07588,0.29442
comcat_himalaya_m4,catboost,platt,707,0.89072,0.93481,0.88309,0.99296,0.06511,0.07905,0.28139
comcat_himalaya_m4,catboost,isotonic,707,0.88944,0.93716,0.88358,0.99765,0.07105,0.07809,0.28077
comcat_himalaya_m4,catboost,temperature,707,0.89072,0.93598,0.88333,0.99531,0.05758,0.07521,0.27546
comcat_himalaya_m4,xgboost,raw,707,0.90056,0.93481,0.88309,0.99296,0.03637,0.07389,0.26494
comcat_himalaya_m4,xgboost,platt,707,0.90056,0.93126,0.88235,0.98592,0.04429,0.07659,0.26993
comcat_himalaya_m4,xgboost,isotonic,707,0.88855,0.92497,0.88437,0.96948,0.04751,0.08715,0.54
comcat_himalaya_m4,xgboost,temperature,707,0.90056,0.93481,0.88309,0.99296,0.0361,0.07383,0.26587
comcat_himalaya_m4,lightgbm,raw,707,0.90654,0.93363,0.88285,0.99061,0.04032,0.07228,0.25541
comcat_himalaya_m4,lightgbm,platt,707,0.90654,0.93363,0.88285,0.99061,0.04251,0.07299,0.25642
comcat_himalaya_m4,lightgbm,isotonic,707,0.90728,0.93363,0.88285,0.99061,0.03184,0.07441,0.3127
comcat_himalaya_m4,lightgbm,temperature,707,0.90654,0.93363,0.88285,0.99061,0.03791,0.07215,0.25534
