catalog,model,method,alpha,coverage,cov_class1,cov_class0,avg_set_size,rate_empty,rate_singleton,rate_both,identity_gap
comcat_global_m4,catboost,split,0.05,0.951,1.0,0.9164,1.1724,0.0,0.8276,0.1724,0.0
comcat_global_m4,catboost,mondrian,0.05,0.9686,0.9718,0.9663,1.3062,0.0,0.6938,0.3062,0.0
comcat_global_m4,catboost,split,0.1,0.9054,0.9931,0.8435,1.0177,0.0,0.9823,0.0177,0.0
comcat_global_m4,catboost,mondrian,0.1,0.9086,0.8975,0.9164,1.1004,0.0,0.8996,0.1004,0.0
comcat_global_m4,catboost,split,0.2,0.8159,0.8085,0.8212,0.8776,0.1224,0.8776,0.0,0.0
comcat_global_m4,catboost,mondrian,0.2,0.8159,0.8085,0.8212,0.8776,0.1224,0.8776,0.0,0.0
comcat_global_m4,catboost,aci,0.1,0.9002,0.9749,0.8475,1.0172,0.0138,0.9552,0.031,0.0
comcat_global_m4,xgboost,split,0.05,0.9514,0.9996,0.9174,1.1757,0.0,0.8243,0.1757,0.0
comcat_global_m4,xgboost,mondrian,0.05,0.9567,0.9558,0.9574,1.2603,0.0,0.7397,0.2603,0.0
comcat_global_m4,xgboost,split,0.1,0.9077,0.9962,0.8453,1.0193,0.0,0.9807,0.0193,0.0
comcat_global_m4,xgboost,mondrian,0.1,0.9102,0.9045,0.9142,1.0988,0.0,0.9012,0.0988,0.0
comcat_global_m4,xgboost,split,0.2,0.8233,0.8232,0.8233,0.8871,0.1129,0.8871,0.0,0.0
comcat_global_m4,xgboost,mondrian,0.2,0.823,0.8232,0.8229,0.8867,0.1133,0.8867,0.0,0.0
comcat_global_m4,xgboost,aci,0.1,0.9002,0.9741,0.8481,1.0143,0.0151,0.9554,0.0294,0.0
comcat_global_m4,lightgbm,split,0.05,0.9524,0.9997,0.9189,1.177,0.0,0.823,0.177,0.0
comcat_global_m4,lightgbm,mondrian,0.05,0.9652,0.9653,0.9651,1.2938,0.0,0.7062,0.2938,0.0
comcat_global_m4,lightgbm,split,0.1,0.9064,0.993,0.8454,1.0162,0.0,0.9838,0.0162,0.0
comcat_global_m4,lightgbm,mondrian,0.1,0.9165,0.9131,0.9189,1.1153,0.0,0.8847,0.1153,0.0
comcat_global_m4,lightgbm,split,0.2,0.8522,0.893,0.8235,0.9265,0.0735,0.9265,0.0,0.0
comcat_global_m4,lightgbm,mondrian,0.2,0.852,0.893,0.823,0.9261,0.0739,0.9261,0.0,0.0
comcat_global_m4,lightgbm,aci,0.1,0.9002,0.9751,0.8475,1.0152,0.0149,0.9551,0.03,0.0
scedc_socal_m25,catboost,split,0.05,0.954,0.9863,0.9384,1.069,0.0,0.931,0.069,0.0
scedc_socal_m25,catboost,mondrian,0.05,0.945,0.9587,0.9384,1.0509,0.0,0.9491,0.0509,0.0
scedc_socal_m25,catboost,split,0.1,0.8845,0.8709,0.8911,0.9294,0.0706,0.9294,0.0,0.0
scedc_socal_m25,catboost,mondrian,0.1,0.8963,0.9367,0.8767,0.9544,0.0456,0.9544,0.0,0.0
scedc_socal_m25,catboost,split,0.2,0.7664,0.5382,0.8767,0.7783,0.2217,0.7783,0.0,0.0
scedc_socal_m25,catboost,mondrian,0.2,0.8687,0.852,0.8767,0.9062,0.0938,0.9062,0.0,0.0
scedc_socal_m25,catboost,aci,0.1,0.8993,0.8809,0.9082,0.9714,0.0449,0.9389,0.0162,0.0
scedc_socal_m25,xgboost,split,0.05,0.938,0.9706,0.9222,1.0302,0.0,0.9698,0.0302,0.0
scedc_socal_m25,xgboost,mondrian,0.05,0.9371,0.9569,0.9276,1.0298,0.0,0.9702,0.0298,0.0
scedc_socal_m25,xgboost,split,0.1,0.882,0.8654,0.89,0.9257,0.0743,0.9257,0.0,0.0
scedc_socal_m25,xgboost,mondrian,0.1,0.8824,0.913,0.8676,0.9332,0.0668,0.9332,0.0,0.0
scedc_socal_m25,xgboost,split,0.2,0.7484,0.4783,0.879,0.7587,0.2413,0.7587,0.0,0.0
scedc_socal_m25,xgboost,mondrian,0.2,0.7658,0.8404,0.7297,0.8007,0.1993,0.8007,0.0,0.0
scedc_socal_m25,xgboost,aci,0.1,0.8993,0.9096,0.8943,0.9765,0.0421,0.9393,0.0186,0.0
scedc_socal_m25,lightgbm,split,0.05,0.9375,0.9749,0.9194,1.0301,0.0,0.9699,0.0301,0.0
scedc_socal_m25,lightgbm,mondrian,0.05,0.9369,0.9551,0.9282,1.0296,0.0,0.9704,0.0296,0.0
scedc_socal_m25,lightgbm,split,0.1,0.8829,0.8758,0.8863,0.9272,0.0728,0.9272,0.0,0.0
scedc_socal_m25,lightgbm,mondrian,0.1,0.8825,0.9166,0.866,0.9338,0.0662,0.9338,0.0,0.0
scedc_socal_m25,lightgbm,split,0.2,0.7472,0.4747,0.879,0.7576,0.2424,0.7576,0.0,0.0
scedc_socal_m25,lightgbm,mondrian,0.2,0.7723,0.8461,0.7366,0.8086,0.1914,0.8086,0.0,0.0
scedc_socal_m25,lightgbm,aci,0.1,0.8993,0.9161,0.8912,0.9755,0.0423,0.9398,0.0178,0.0
comcat_himalaya_m4,catboost,split,0.05,0.9477,1.0,0.8683,1.2786,0.0,0.7214,0.2786,0.0
comcat_himalaya_m4,catboost,mondrian,0.05,0.8953,0.8615,0.9466,1.4484,0.0,0.5516,0.4484,0.0
comcat_himalaya_m4,catboost,split,0.1,0.8543,0.8897,0.8007,0.9264,0.0736,0.9264,0.0,0.0
comcat_himalaya_m4,catboost,mondrian,0.1,0.8204,0.7582,0.9146,1.2504,0.0,0.7496,0.2504,0.0
comcat_himalaya_m4,catboost,split,0.2,0.7313,0.6854,0.8007,0.7949,0.2051,0.7949,0.0,0.0
comcat_himalaya_m4,catboost,mondrian,0.2,0.7341,0.6737,0.8256,0.9264,0.0736,0.9264,0.0,0.0
comcat_himalaya_m4,catboost,aci,0.1,0.8911,0.946,0.8078,0.9788,0.0354,0.9505,0.0141,0.0
comcat_himalaya_m4,xgboost,split,0.05,0.9689,0.9695,0.968,1.5799,0.0,0.4201,0.5799,0.0
comcat_himalaya_m4,xgboost,mondrian,0.05,0.959,0.9531,0.968,1.5644,0.0,0.4356,0.5644,0.0
comcat_himalaya_m4,xgboost,split,0.1,0.8939,0.9531,0.8043,0.9844,0.0156,0.9844,0.0,0.0
comcat_himalaya_m4,xgboost,mondrian,0.1,0.959,0.9531,0.968,1.5644,0.0,0.4356,0.5644,0.0
comcat_himalaya_m4,xgboost,split,0.2,0.8939,0.9531,0.8043,0.9844,0.0156,0.9844,0.0,0.0
comcat_himalaya_m4,xgboost,mondrian,0.2,0.9293,0.9531,0.8932,1.2716,0.0,0.7284,0.2716,0.0
comcat_himalaya_m4,xgboost,aci,0.1,0.8967,0.9577,0.8043,0.9873,0.0127,0.9873,0.0,0.0
comcat_himalaya_m4,lightgbm,split,0.05,0.9929,0.993,0.9929,1.6436,0.0,0.3564,0.6436,0.0
comcat_himalaya_m4,lightgbm,mondrian,0.05,0.9816,0.9742,0.9929,1.628,0.0,0.372,0.628,0.0
comcat_himalaya_m4,lightgbm,split,0.1,0.9052,0.9742,0.8007,0.9844,0.0156,0.9844,0.0,0.0
comcat_himalaya_m4,lightgbm,mondrian,0.1,0.9816,0.9742,0.9929,1.628,0.0,0.372,0.628,0.0
comcat_himalaya_m4,lightgbm,split,0.2,0.9052,0.9742,0.8007,0.9844,0.0156,0.9844,0.0,0.0
comcat_himalaya_m4,lightgbm,mondrian,0.2,0.8232,0.8005,0.8577,0.9986,0.0014,0.9986,0.0,0.0
comcat_himalaya_m4,lightgbm,aci,0.1,0.9052,0.9742,0.8007,0.9844,0.0156,0.9844,0.0,0.0
