catalog,config,hyperparameters,auc,f1
comcat_global_m4,label_R25_T15,frozen (reference window),0.9228,0.8919
comcat_global_m4,label_R25_T15,re-tuned for this window,0.9229,0.8928
comcat_global_m4,label_R25_T90,frozen (reference window),0.8836,0.7998
comcat_global_m4,label_R25_T90,re-tuned for this window,0.8848,0.8012
comcat_global_m4,label_R100_T15,frozen (reference window),0.8987,0.7661
comcat_global_m4,label_R100_T15,re-tuned for this window,0.8996,0.7714
comcat_global_m4,label_R100_T90,frozen (reference window),0.9049,0.5788
comcat_global_m4,label_R100_T90,re-tuned for this window,0.9064,0.593
comcat_global_m4,label_R50_T30,frozen (reference window),0.9431,0.8904
comcat_global_m4,label_R50_T30,re-tuned for this window,0.9431,0.8904
scedc_socal_m25,label_R25_T15,frozen (reference window),0.948,0.8691
scedc_socal_m25,label_R25_T15,re-tuned for this window,0.9487,0.8711
scedc_socal_m25,label_R25_T90,frozen (reference window),0.9518,0.8234
scedc_socal_m25,label_R25_T90,re-tuned for this window,0.9522,0.8259
scedc_socal_m25,label_R100_T15,frozen (reference window),0.9634,0.8475
scedc_socal_m25,label_R100_T15,re-tuned for this window,0.9638,0.8466
scedc_socal_m25,label_R100_T90,frozen (reference window),0.9734,0.8448
scedc_socal_m25,label_R100_T90,re-tuned for this window,0.9736,0.8465
scedc_socal_m25,label_R50_T30,frozen (reference window),0.9747,0.8871
scedc_socal_m25,label_R50_T30,re-tuned for this window,0.9747,0.8874
comcat_himalaya_m4,label_R25_T15,frozen (reference window),0.9128,0.9378
comcat_himalaya_m4,label_R25_T15,re-tuned for this window,0.9082,0.939
comcat_himalaya_m4,label_R25_T90,frozen (reference window),0.8294,0.8735
comcat_himalaya_m4,label_R25_T90,re-tuned for this window,0.8257,0.8754
comcat_himalaya_m4,label_R100_T15,frozen (reference window),0.8309,0.85
comcat_himalaya_m4,label_R100_T15,re-tuned for this window,0.8368,0.8487
comcat_himalaya_m4,label_R100_T90,frozen (reference window),0.8423,0.6409
comcat_himalaya_m4,label_R100_T90,re-tuned for this window,0.852,0.6443
comcat_himalaya_m4,label_R50_T30,frozen (reference window),0.9006,0.9348
comcat_himalaya_m4,label_R50_T30,re-tuned for this window,0.9006,0.9348
