catalog,model,alpha,n_test,rate_empty,rate_singleton,rate_both,n_empty,rule,P_RESPONSE,P_ALERT,P_ESCALATE,P_false_RESPONSE,false_RESPONSE_given_RESPONSE,P_false_ALERT
comcat_global_m4,xgboost,0.02,81783,0.0,0.6261,0.3739,0,empty -> ESCALATE,0.1293,0.4967,0.3739,0.0115,0.0889,0.0057
comcat_global_m4,xgboost,0.02,81783,0.0,0.6261,0.3739,0,empty -> argmax,0.1293,0.4967,0.3739,0.0115,0.0889,0.0057
comcat_global_m4,xgboost,0.1,81783,0.0,0.9012,0.0988,0,empty -> ESCALATE,0.3511,0.5501,0.0988,0.0503,0.1433,0.0395
comcat_global_m4,xgboost,0.1,81783,0.0,0.9012,0.0988,0,empty -> argmax,0.3511,0.5501,0.0988,0.0503,0.1433,0.0395
scedc_socal_m25,xgboost,0.02,11878,0.0,0.8835,0.1165,0,empty -> ESCALATE,0.2761,0.6074,0.1165,0.0253,0.0918,0.0056
scedc_socal_m25,xgboost,0.02,11878,0.0,0.8835,0.1165,0,empty -> argmax,0.2761,0.6074,0.1165,0.0253,0.0918,0.0056
scedc_socal_m25,xgboost,0.1,11878,0.0668,0.9332,0.0,794,empty -> ESCALATE,0.3484,0.5848,0.0668,0.0508,0.1457,0.0
scedc_socal_m25,xgboost,0.1,11878,0.0668,0.9332,0.0,794,empty -> argmax,0.3677,0.6323,0.0,0.0596,0.1621,0.0178
comcat_himalaya_m4,xgboost,0.02,707,0.0,0.3536,0.6464,0,empty -> ESCALATE,0.0,0.3536,0.6464,0.0,,0.0283
comcat_himalaya_m4,xgboost,0.02,707,0.0,0.3536,0.6464,0,empty -> argmax,0.0,0.3536,0.6464,0.0,,0.0283
comcat_himalaya_m4,xgboost,0.1,707,0.0,0.4356,0.5644,0,empty -> ESCALATE,0.082,0.3536,0.5644,0.0127,0.1552,0.0283
comcat_himalaya_m4,xgboost,0.1,707,0.0,0.4356,0.5644,0,empty -> argmax,0.082,0.3536,0.5644,0.0127,0.1552,0.0283
