catalog,run,n_events,mainshock_rate,observed_mainshock_rate,calibration_status,branching_ratio,label_reconstruction_agreement,auc_pooled,f1_pooled,auc_magdiff_pooled,n_operational,n_foreshocks,auc_operational,f1_operational,auc_magdiff_operational,positive_rate_operational,foreshock_recall
comcat_global_m4,0,110984,0.5012,0.5439,matched,0.7154,1.0,0.9269,0.9238,0.9268,9799,1360,0.5587,0.9238,0.558,0.8612,0.0074
comcat_global_m4,1,102391,0.5235,0.5439,matched,0.7154,1.0,0.9202,0.9291,0.9223,9463,1239,0.5406,0.9294,0.5524,0.8691,0.0056
comcat_global_m4,2,100886,0.5246,0.5439,matched,0.7154,1.0,0.9249,0.9243,0.9229,9071,1258,0.5632,0.9243,0.5516,0.8613,0.0072
comcat_global_m4,3,106733,0.5129,0.5439,matched,0.7154,1.0,0.9246,0.9259,0.9255,9818,1339,0.5757,0.9263,0.5809,0.8636,0.0045
comcat_global_m4,4,104130,0.5212,0.5439,matched,0.7154,1.0,0.9132,0.929,0.9167,9986,1292,0.5347,0.9298,0.5535,0.8706,0.0031
scedc_socal_m25,0,50416,0.8133,0.3976,stability_limited,0.95,1.0,0.8673,0.9668,0.8745,6531,405,0.5293,0.9672,0.5548,0.938,0.0025
scedc_socal_m25,1,48940,0.8176,0.3976,stability_limited,0.95,1.0,0.8761,0.9699,0.8844,6346,360,0.5335,0.9702,0.565,0.9433,0.0028
scedc_socal_m25,2,48814,0.8187,0.3976,stability_limited,0.95,1.0,0.8653,0.9693,0.8764,6386,372,0.5261,0.9698,0.5652,0.9417,0.0
scedc_socal_m25,3,49600,0.8193,0.3976,stability_limited,0.95,1.0,0.8658,0.9684,0.8613,6498,389,0.5409,0.969,0.5254,0.9401,0.0
scedc_socal_m25,4,50098,0.8187,0.3976,stability_limited,0.95,1.0,0.8532,0.9679,0.8642,6594,407,0.5211,0.9679,0.5567,0.9383,0.0
comcat_himalaya_m4,0,2886,0.8891,0.7415,stability_limited,0.95,1.0,0.893,0.9848,0.8905,401,12,0.6078,0.9848,0.5985,0.9701,0.0
comcat_himalaya_m4,1,2791,0.8893,0.7415,stability_limited,0.95,1.0,0.8801,0.9773,0.8954,383,16,0.6104,0.9773,0.6601,0.9582,0.0
comcat_himalaya_m4,2,2728,0.8834,0.7415,stability_limited,0.95,1.0,0.8512,0.9797,0.8689,377,14,0.5008,0.9797,0.5598,0.9629,0.0
comcat_himalaya_m4,3,2860,0.8801,0.7415,stability_limited,0.95,1.0,0.9225,0.988,0.9382,380,9,0.5004,0.988,0.6017,0.9763,0.0
comcat_himalaya_m4,4,2880,0.8858,0.7415,stability_limited,0.95,1.0,0.7648,0.9718,0.8097,401,21,0.4178,0.9718,0.5288,0.9476,0.0
