catalog,ablation,n_features,auc,f1,recall,delong_p_vs_full,delong_p_bh
comcat_global_m4,full,11,0.94312,0.89044,0.98971,,
comcat_global_m4,no_magdiff,10,0.94285,0.88473,0.97159,0.2423,0.27258
comcat_global_m4,magdiff_only,1,0.94141,0.8884,1.0,0.0,0.0
comcat_global_m4,no_mw_family,8,0.78167,0.70234,0.97437,0.0,0.0
scedc_socal_m25,full,5,0.9747,0.88711,0.93053,,
scedc_socal_m25,no_magdiff,4,0.97185,0.87231,0.8954,0.0,0.0
scedc_socal_m25,magdiff_only,1,0.97086,0.88322,0.961,0.0,0.0
scedc_socal_m25,no_mw_family,2,0.90442,0.67501,0.59892,0.0,0.0
comcat_himalaya_m4,full,11,0.90056,0.93481,0.99296,,
comcat_himalaya_m4,no_magdiff,10,0.89835,0.9177,0.9554,0.48607,0.48607
comcat_himalaya_m4,magdiff_only,1,0.93108,0.93833,1.0,0.00347,0.00446
comcat_himalaya_m4,no_mw_family,8,0.79842,0.859,0.92958,0.0,0.0
