catalog,model,calibrator,mean_pred,frac_pos,count
comcat_global_m4,catboost,raw,1e-05,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,2e-05,0.0,5452
comcat_global_m4,catboost,raw,0.4482,0.43012,5452
comcat_global_m4,catboost,raw,0.73322,0.7146,5452
comcat_global_m4,catboost,raw,0.801,0.74945,5452
comcat_global_m4,catboost,raw,0.83481,0.80026,5452
comcat_global_m4,catboost,raw,0.8567,0.83364,5452
comcat_global_m4,catboost,raw,0.87548,0.85547,5452
comcat_global_m4,catboost,raw,0.89927,0.8872,5452
comcat_global_m4,catboost,raw,0.93226,0.9336,5452
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5452
comcat_global_m4,catboost,platt,1e-05,0.0,5452
comcat_global_m4,catboost,platt,1e-05,0.0,5452
comcat_global_m4,catboost,platt,1e-05,0.0,5452
comcat_global_m4,catboost,platt,0.41873,0.43012,5452
comcat_global_m4,catboost,platt,0.70749,0.7146,5452
comcat_global_m4,catboost,platt,0.78231,0.74945,5452
comcat_global_m4,catboost,platt,0.81991,0.80026,5452
comcat_global_m4,catboost,platt,0.84428,0.83364,5452
comcat_global_m4,catboost,platt,0.86518,0.85547,5452
comcat_global_m4,catboost,platt,0.8916,0.8872,5452
comcat_global_m4,catboost,platt,0.928,0.9336,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.43217,0.42957,5452
comcat_global_m4,catboost,isotonic,0.71263,0.71387,5452
comcat_global_m4,catboost,isotonic,0.75814,0.75238,5452
comcat_global_m4,catboost,isotonic,0.80862,0.79842,5452
