catalog,statistic,value,ci_lo,ci_hi,n_events,n_sequences,resampling_unit
comcat_global_m4,auc,0.94303,0.93346,0.95181,81783,17220,sequence
comcat_global_m4,f1,0.89054,0.8848,0.8967,81783,17220,sequence
comcat_global_m4,ece,0.00405,0.00305,0.00638,81783,17220,sequence
comcat_global_m4,auc_magdiff,0.93754,0.92727,0.94705,81783,17220,sequence
scedc_socal_m25,auc,0.9747,0.94965,0.98615,11878,2538,sequence
scedc_socal_m25,f1,0.88835,0.8613,0.91844,11878,2538,sequence
scedc_socal_m25,ece,0.00531,0.00357,0.01701,11878,2538,sequence
scedc_socal_m25,auc_magdiff,0.96953,0.94143,0.9838,11878,2538,sequence
comcat_himalaya_m4,auc,0.88855,0.7901,0.93266,707,282,sequence
comcat_himalaya_m4,f1,0.92497,0.90144,0.94643,707,282,sequence
comcat_himalaya_m4,ece,0.04751,0.02992,0.07623,707,282,sequence
comcat_himalaya_m4,auc_magdiff,0.9325,0.86238,0.96365,707,282,sequence
