catalog,model,calibrator,n_test,auc,f1,precision,recall,ece,brier,nll
comcat_global_m4,catboost,raw,81783,0.94301,0.88802,0.80391,0.99178,0.01053,0.07769,0.2434
comcat_global_m4,catboost,platt,81783,0.94301,0.8881,0.80749,0.98658,0.00724,0.07752,0.24282
comcat_global_m4,catboost,isotonic,81783,0.94293,0.88801,0.80389,0.99178,0.00402,0.07747,0.24276
comcat_global_m4,catboost,temperature,81783,0.94301,0.88802,0.80391,0.99178,0.00658,0.07754,0.24292
comcat_global_m4,xgboost,raw,81783,0.94312,0.89044,0.80927,0.98971,0.00879,0.07692,0.24179
comcat_global_m4,xgboost,platt,81783,0.94312,0.88987,0.8111,0.98557,0.00746,0.07684,0.24151
comcat_global_m4,xgboost,isotonic,81783,0.94303,0.89054,0.80892,0.99048,0.00353,0.07677,0.24143
comcat_global_m4,xgboost,temperature,81783,0.94312,0.89044,0.80927,0.98971,0.00714,0.07685,0.24161
comcat_global_m4,lightgbm,raw,81783,0.94323,0.89045,0.80644,0.994,0.02967,0.07782,0.26036
comcat_global_m4,lightgbm,platt,81783,0.94323,0.88667,0.81631,0.97032,0.01791,0.07766,0.24455
comcat_global_m4,lightgbm,isotonic,81783,0.94307,0.89022,0.8084,0.99048,0.00385,0.07683,0.24198
comcat_global_m4,lightgbm,temperature,81783,0.94323,0.89045,0.80644,0.994,0.03096,0.07823,0.25386
scedc_socal_m25,catboost,raw,6848,0.9728,0.76014,0.68812,0.84899,0.00619,0.04331,0.12577
scedc_socal_m25,catboost,platt,6848,0.9728,0.76773,0.68202,0.87808,0.00826,0.04353,0.12634
scedc_socal_m25,catboost,isotonic,6848,0.97279,0.76014,0.68812,0.84899,0.00832,0.04381,0.12729
scedc_socal_m25,catboost,temperature,6848,0.9728,0.76014,0.68812,0.84899,0.00828,0.04351,0.12624
scedc_socal_m25,xgboost,raw,6848,0.97239,0.75052,0.69846,0.81096,0.01396,0.04458,0.1302
scedc_socal_m25,xgboost,platt,6848,0.97239,0.76133,0.69231,0.84564,0.01046,0.04411,0.1286
scedc_socal_m25,xgboost,isotonic,6848,0.97227,0.76673,0.66945,0.89709,0.00906,0.04425,0.12824
scedc_socal_m25,xgboost,temperature,6848,0.97239,0.75052,0.69846,0.81096,0.01073,0.04412,0.12841
scedc_socal_m25,lightgbm,raw,6848,0.97253,0.74845,0.69653,0.80872,0.01147,0.04419,0.12925
scedc_socal_m25,lightgbm,platt,6848,0.97253,0.75632,0.69004,0.83669,0.009,0.04391,0.12822
scedc_socal_m25,lightgbm,isotonic,6848,0.97236,0.74704,0.69245,0.81096,0.0087,0.04418,0.13007
scedc_socal_m25,lightgbm,temperature,6848,0.97253,0.74845,0.69653,0.80872,0.00929,0.04392,0.12813
comcat_himalaya_m4,catboost,raw,707,0.89072,0.93598,0.88333,0.99531,0.0625,0.07588,0.29442
comcat_himalaya_m4,catboost,platt,707,0.89072,0.93481,0.88309,0.99296,0.06511,0.07905,0.28139
comcat_himalaya_m4,catboost,isotonic,707,0.88944,0.93716,0.88358,0.99765,0.07245,0.07809,0.28077
comcat_himalaya_m4,catboost,temperature,707,0.89072,0.93598,0.88333,0.99531,0.05758,0.07521,0.27546
comcat_himalaya_m4,xgboost,raw,707,0.90056,0.93481,0.88309,0.99296,0.03637,0.07389,0.26494
comcat_himalaya_m4,xgboost,platt,707,0.90056,0.93126,0.88235,0.98592,0.04429,0.07659,0.26993
comcat_himalaya_m4,xgboost,isotonic,707,0.88855,0.92497,0.88437,0.96948,0.03763,0.08715,0.54
comcat_himalaya_m4,xgboost,temperature,707,0.90056,0.93481,0.88309,0.99296,0.0361,0.07383,0.26587
comcat_himalaya_m4,lightgbm,raw,707,0.90654,0.93363,0.88285,0.99061,0.04032,0.07228,0.25541
comcat_himalaya_m4,lightgbm,platt,707,0.90654,0.93363,0.88285,0.99061,0.04251,0.07299,0.25642
comcat_himalaya_m4,lightgbm,isotonic,707,0.90728,0.93363,0.88285,0.99061,0.02825,0.07441,0.3127
comcat_himalaya_m4,lightgbm,temperature,707,0.90654,0.93363,0.88285,0.99061,0.03791,0.07215,0.25534
