sequence,config,time,mw,place,prob,set,state,true_label,false_RESPONSE
Kahramanmaras_2023,label_R25_T15,2023-02-06 01:17:34.342000+00:00,7.8,"Pazarcik earthquake, Kahramanmaras earthquake sequence",0.9461,{1},RESPONSE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 01:26:50.869000+00:00,5.175,"24 km ENE of Nurda??, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 01:28:15.784000+00:00,6.7,"14 km E of Nurda??, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 01:36:27.357000+00:00,5.09,Turkey-Syria border region,0.0,"{0,1}",ESCALATE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 01:58:23.118000+00:00,4.665,"12 km SSE of Hasanbeyli, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 02:03:37.341000+00:00,4.835,Central Turkey,0.607,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 02:06:23.457000+00:00,4.58,"19 km NE of Tut, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 02:23:14.336000+00:00,4.835,"20 km E of Nurda??, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 04:18:46.986000+00:00,4.58,"17 km NNW of Sincik, Turkey",0.2143,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 06:54:57.430000+00:00,4.8,"14 km SE of Ça?layancerit, Turkey",0.0,"{0,1}",ESCALATE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 10:24:48.811000+00:00,7.5,"Elbistan earthquake, Kahramanmaras earthquake sequence",0.8304,"{0,1}",ESCALATE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 10:26:46.742000+00:00,5.43,"12 km W of Çelikhan, Turkey",0.6398,"{0,1}",ESCALATE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 10:32:08.932000+00:00,4.92,"7 km S of Ekinözü, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 10:35:58.161000+00:00,5.26,"9 km SW of Do?an?ehir, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 10:51:30.994000+00:00,5.175,"7 km SW of Ye?ilyurt, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 11:05:35.084000+00:00,4.665,"23 km SW of Af?in, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 12:02:11.275000+00:00,5.43,"4 km NNE of Göksun, Turkey",0.7114,"{0,1}",ESCALATE,1,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 13:07:45.076000+00:00,4.58,Central Turkey,0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 13:39:24.254000+00:00,4.835,"16 km WSW of Do?an?ehir, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 13:44:51.298000+00:00,4.58,"5 km ESE of Nurhak, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 15:14:34.402000+00:00,4.9,"13 km NE of Gölba??, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 15:33:32.721000+00:00,5.4,eastern Turkey,0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 16:27:19.276000+00:00,4.7,"6 km WNW of Göksun, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 16:43:28.541000+00:00,5.0,"2 km SSE of Göksun, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 17:26:24.481000+00:00,4.5,"19 km ENE of Göksun, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 17:31:34.269000+00:00,4.5,"8 km S of Nurda??, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 18:03:53.807000+00:00,5.2,"6 km SW of G?ksun, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 20:05:35.045000+00:00,4.8,"Adana, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 20:37:51.879000+00:00,5.3,"32 km SW of Pazarc?k, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 20:44:00.230000+00:00,4.8,Central Turkey,0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 20:53:24.379000+00:00,4.8,"9 km S of Ye?ilyurt, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 21:15:18.245000+00:00,4.9,"13 km W of Ekinözü, Turkey",0.0,"{0,1}",ESCALATE,0,False
Kahramanmaras_2023,label_R25_T15,2023-02-06 21:57:43.529000+00:00,4.7,"8 km E of Göksun, Turkey",0.0,"{0,1}",ESCALATE,0,False
