catalog,sample,ablation,n_train,n_test,mainshock_rate_test,auc,f1
comcat_global_m4,all events,full,327132,81783,0.4136,0.9432,0.8904
comcat_global_m4,all events,no_magnitude,327132,81783,0.4136,0.7805,0.6988
comcat_global_m4,mw >= modern Mc (4.00),full,230121,51761,0.4679,0.9426,0.9067
comcat_global_m4,mw >= modern Mc (4.00),no_magnitude,230121,51761,0.4679,0.8269,0.746
comcat_global_m4,mw >= 4.5 (fixed),full,83492,11055,0.6372,0.9379,0.9476
comcat_global_m4,mw >= 4.5 (fixed),no_magnitude,83492,11055,0.6372,0.8581,0.8326
comcat_global_m4,mw >= 5.0 (fixed),full,52170,5770,0.7336,0.9257,0.9578
comcat_global_m4,mw >= 5.0 (fixed),no_magnitude,52170,5770,0.7336,0.8394,0.87
scedc_socal_m25,all events,full,27388,6848,0.1305,0.9723,0.7466
scedc_socal_m25,all events,no_magnitude,27388,6848,0.1305,0.8693,0.0239
scedc_socal_m25,mw >= modern Mc (2.50),full,13658,3957,0.1772,0.9687,0.7992
scedc_socal_m25,mw >= modern Mc (2.50),no_magnitude,13658,3957,0.1772,0.8901,0.4757
scedc_socal_m25,mw >= 3.0 (fixed),full,3185,1330,0.2707,0.9613,0.8861
scedc_socal_m25,mw >= 3.0 (fixed),no_magnitude,3185,1330,0.2707,0.9208,0.7561
scedc_socal_m25,mw >= 3.5 (fixed),full,777,675,0.2815,0.9655,0.8947
scedc_socal_m25,mw >= 3.5 (fixed),no_magnitude,777,675,0.2815,0.9382,0.7804
comcat_himalaya_m4,all events,full,2826,707,0.6025,0.9013,0.9348
comcat_himalaya_m4,all events,no_magnitude,2826,707,0.6025,0.8014,0.8556
comcat_himalaya_m4,mw >= modern Mc (4.00),full,2009,379,0.6887,0.8934,0.9526
comcat_himalaya_m4,mw >= modern Mc (4.00),no_magnitude,2009,379,0.6887,0.8209,0.9002
