catalog,model,method,alpha,coverage,cov_class1,cov_class0,avg_set_size,rate_empty,rate_singleton,rate_both,identity_gap
comcat_global_m4,catboost,split,0.05,0.9531,1.0,0.9201,1.1823,0.0,0.8177,0.1823,0.0
comcat_global_m4,catboost,mondrian,0.05,0.9637,0.9683,0.9605,1.2804,0.0,0.7196,0.2804,0.0
comcat_global_m4,catboost,split,0.1,0.9061,0.9933,0.8446,1.0195,0.0,0.9805,0.0195,0.0
comcat_global_m4,catboost,mondrian,0.1,0.9107,0.911,0.9104,1.092,0.0,0.908,0.092,0.0
comcat_global_m4,catboost,split,0.2,0.8165,0.8098,0.8212,0.8785,0.1215,0.8785,0.0,0.0
comcat_global_m4,catboost,mondrian,0.2,0.8164,0.8098,0.8211,0.8785,0.1215,0.8785,0.0,0.0
comcat_global_m4,catboost,aci,0.1,0.9002,0.975,0.8474,1.0171,0.0139,0.955,0.031,0.0
comcat_global_m4,xgboost,split,0.05,0.9514,0.9996,0.9174,1.1757,0.0,0.8243,0.1757,0.0
comcat_global_m4,xgboost,mondrian,0.05,0.9567,0.9558,0.9574,1.2603,0.0,0.7397,0.2603,0.0
comcat_global_m4,xgboost,split,0.1,0.9077,0.9962,0.8453,1.0193,0.0,0.9807,0.0193,0.0
comcat_global_m4,xgboost,mondrian,0.1,0.9102,0.9045,0.9142,1.0988,0.0,0.9012,0.0988,0.0
comcat_global_m4,xgboost,split,0.2,0.8233,0.8232,0.8233,0.8871,0.1129,0.8871,0.0,0.0
comcat_global_m4,xgboost,mondrian,0.2,0.823,0.8232,0.8229,0.8867,0.1133,0.8867,0.0,0.0
comcat_global_m4,xgboost,aci,0.1,0.9002,0.9741,0.8481,1.0143,0.0151,0.9554,0.0294,0.0
comcat_global_m4,lightgbm,split,0.05,0.9524,0.9997,0.9189,1.177,0.0,0.823,0.177,0.0
comcat_global_m4,lightgbm,mondrian,0.05,0.9652,0.9653,0.9651,1.2938,0.0,0.7062,0.2938,0.0
comcat_global_m4,lightgbm,split,0.1,0.9064,0.993,0.8454,1.0162,0.0,0.9838,0.0162,0.0
