catalog,rule,alpha,c_FN,P_false_RESPONSE,P_false_ALERT,P_ESCALATE,P_empty,expected_cost
comcat_global_m4,escalate,0.005,5,0.0031,0.0016,0.463,0.0,0.48
comcat_global_m4,escalate,0.005,10,0.0031,0.0016,0.463,0.0,0.4955
comcat_global_m4,escalate,0.005,50,0.0031,0.0016,0.463,0.0,0.6192
comcat_global_m4,argmax,0.005,5,0.0031,0.0016,0.463,0.0,0.48
comcat_global_m4,argmax,0.005,10,0.0031,0.0016,0.463,0.0,0.4955
comcat_global_m4,argmax,0.005,50,0.0031,0.0016,0.463,0.0,0.6192
comcat_global_m4,escalate,0.01,5,0.0048,0.0041,0.4388,0.0,0.4667
comcat_global_m4,escalate,0.01,10,0.0048,0.0041,0.4388,0.0,0.4905
comcat_global_m4,escalate,0.01,50,0.0048,0.0041,0.4388,0.0,0.6807
comcat_global_m4,argmax,0.01,5,0.0048,0.0041,0.4388,0.0,0.4667
comcat_global_m4,argmax,0.01,10,0.0048,0.0041,0.4388,0.0,0.4905
comcat_global_m4,argmax,0.01,50,0.0048,0.0041,0.4388,0.0,0.6807
comcat_global_m4,escalate,0.015,5,0.008,0.0057,0.403,0.0,0.4487
comcat_global_m4,escalate,0.015,10,0.008,0.0057,0.403,0.0,0.4889
comcat_global_m4,escalate,0.015,50,0.008,0.0057,0.403,0.0,0.8097
comcat_global_m4,argmax,0.015,5,0.008,0.0057,0.403,0.0,0.4487
comcat_global_m4,argmax,0.015,10,0.008,0.0057,0.403,0.0,0.4889
comcat_global_m4,argmax,0.015,50,0.008,0.0057,0.403,0.0,0.8097
comcat_global_m4,escalate,0.02,5,0.0115,0.0057,0.3739,0.0,0.4371
comcat_global_m4,escalate,0.02,10,0.0115,0.0057,0.3739,0.0,0.4945
comcat_global_m4,escalate,0.02,50,0.0115,0.0057,0.3739,0.0,0.9543
comcat_global_m4,argmax,0.02,5,0.0115,0.0057,0.3739,0.0,0.4371
comcat_global_m4,argmax,0.02,10,0.0115,0.0057,0.3739,0.0,0.4945
comcat_global_m4,argmax,0.02,50,0.0115,0.0057,0.3739,0.0,0.9543
comcat_global_m4,escalate,0.025,5,0.0115,0.0109,0.3646,0.0,0.433
comcat_global_m4,escalate,0.025,10,0.0115,0.0109,0.3646,0.0,0.4904
comcat_global_m4,escalate,0.025,50,0.0115,0.0109,0.3646,0.0,0.9502
comcat_global_m4,argmax,0.025,5,0.0115,0.0109,0.3646,0.0,0.433
comcat_global_m4,argmax,0.025,10,0.0115,0.0109,0.3646,0.0,0.4904
comcat_global_m4,argmax,0.025,50,0.0115,0.0109,0.3646,0.0,0.9502
comcat_global_m4,escalate,0.03,5,0.0155,0.0119,0.3318,0.0,0.4212
comcat_global_m4,escalate,0.03,10,0.0155,0.0119,0.3318,0.0,0.4986
comcat_global_m4,escalate,0.03,50,0.0155,0.0119,0.3318,0.0,1.1183
comcat_global_m4,argmax,0.03,5,0.0155,0.0119,0.3318,0.0,0.4212
comcat_global_m4,argmax,0.03,10,0.0155,0.0119,0.3318,0.0,0.4986
comcat_global_m4,argmax,0.03,50,0.0155,0.0119,0.3318,0.0,1.1183
comcat_global_m4,escalate,0.035,5,0.0174,0.0145,0.3137,0.0,0.415
comcat_global_m4,escalate,0.035,10,0.0174,0.0145,0.3137,0.0,0.5019
comcat_global_m4,escalate,0.035,50,0.0174,0.0145,0.3137,0.0,1.1969
comcat_global_m4,argmax,0.035,5,0.0174,0.0145,0.3137,0.0,0.415
comcat_global_m4,argmax,0.035,10,0.0174,0.0145,0.3137,0.0,0.5019
comcat_global_m4,argmax,0.035,50,0.0174,0.0145,0.3137,0.0,1.1969
comcat_global_m4,escalate,0.04,5,0.0174,0.0145,0.3137,0.0,0.415
comcat_global_m4,escalate,0.04,10,0.0174,0.0145,0.3137,0.0,0.5019
comcat_global_m4,escalate,0.04,50,0.0174,0.0145,0.3137,0.0,1.1969
comcat_global_m4,argmax,0.04,5,0.0174,0.0145,0.3137,0.0,0.415
comcat_global_m4,argmax,0.04,10,0.0174,0.0145,0.3137,0.0,0.5019
comcat_global_m4,argmax,0.04,50,0.0174,0.0145,0.3137,0.0,1.1969
comcat_global_m4,escalate,0.045,5,0.025,0.0183,0.2603,0.0,0.4036
comcat_global_m4,escalate,0.045,10,0.025,0.0183,0.2603,0.0,0.5286
comcat_global_m4,escalate,0.045,50,0.025,0.0183,0.2603,0.0,1.5289
comcat_global_m4,argmax,0.045,5,0.025,0.0183,0.2603,0.0,0.4036
