catalog,run,n_events,mainshock_rate,observed_mainshock_rate,calibration_status,branching_ratio,label_reconstruction_agreement,auc_pooled,f1_pooled,auc_magdiff_pooled,n_operational,n_foreshocks,auc_operational,f1_operational,auc_magdiff_operational,positive_rate_operational,foreshock_recall
comcat_global_m4,0,110984,0.5012,0.5439,matched,0.7154,1.0,0.9269,0.9235,0.9268,9799,1360,0.5587,0.9236,0.558,0.8612,0.0059
comcat_global_m4,1,102391,0.5235,0.5439,matched,0.7154,1.0,0.9206,0.9291,0.9223,9463,1239,0.543,0.9295,0.5524,0.8691,0.0056
comcat_global_m4,2,100886,0.5246,0.5439,matched,0.7154,1.0,0.924,0.9244,0.9229,9071,1258,0.5578,0.9244,0.5516,0.8613,0.0048
comcat_global_m4,3,106733,0.5129,0.5439,matched,0.7154,1.0,0.9244,0.9258,0.9255,9818,1339,0.575,0.9261,0.5809,0.8636,0.003
comcat_global_m4,4,104130,0.5212,0.5439,matched,0.7154,1.0,0.9136,0.929,0.9167,9986,1292,0.5369,0.9299,0.5535,0.8706,0.0039
scedc_socal_m25,0,21931,0.3632,0.1768,not_converged,0.9474,1.0,0.9142,0.8238,0.9,1753,475,0.6365,0.8238,0.5766,0.729,0.1074
scedc_socal_m25,1,22071,0.365,0.1768,not_converged,0.9474,1.0,0.9248,0.8191,0.9049,1646,467,0.657,0.8194,0.5658,0.7163,0.1156
scedc_socal_m25,2,20629,0.3794,0.1768,not_converged,0.9474,1.0,0.9218,0.8331,0.9076,1533,401,0.6172,0.8331,0.5478,0.7384,0.1347
scedc_socal_m25,3,22476,0.3533,0.1768,not_converged,0.9474,1.0,0.9314,0.8172,0.9112,1595,461,0.6671,0.8172,0.5688,0.711,0.1193
scedc_socal_m25,4,21631,0.3669,0.1768,not_converged,0.9474,1.0,0.9339,0.8165,0.9114,1526,451,0.6822,0.8165,0.5739,0.7045,0.1441
comcat_himalaya_m4,0,2886,0.8891,0.7415,stability_limited,0.95,1.0,0.8923,0.9848,0.8905,401,12,0.6052,0.9848,0.5985,0.9701,0.0
comcat_himalaya_m4,1,2791,0.8893,0.7415,stability_limited,0.95,1.0,0.8826,0.9773,0.8954,383,16,0.6185,0.9773,0.6601,0.9582,0.0
comcat_himalaya_m4,2,2728,0.8834,0.7415,stability_limited,0.95,1.0,0.8533,0.9797,0.8689,377,14,0.5077,0.9797,0.5598,0.9629,0.0
comcat_himalaya_m4,3,2860,0.8801,0.7415,stability_limited,0.95,1.0,0.9237,0.988,0.9382,380,9,0.5085,0.988,0.6017,0.9763,0.0
comcat_himalaya_m4,4,2880,0.8858,0.7415,stability_limited,0.95,1.0,0.7644,0.9718,0.8097,401,21,0.4167,0.9718,0.5288,0.9476,0.0
