catalog,ablation,n_features,auc,f1,recall,delong_p_vs_full,delong_p_bh
comcat_global_m4,full,11,0.94321,0.89041,0.98856,,
comcat_global_m4,no_magdiff,10,0.94185,0.88487,0.97268,0.0,0.0
comcat_global_m4,magdiff_only,1,0.94142,0.8884,1.0,0.0,0.0
comcat_global_m4,no_mw_family,8,0.78048,0.69882,0.97721,0.0,0.0
scedc_socal_m25,full,5,0.97229,0.74663,0.80425,,
scedc_socal_m25,no_magdiff,4,0.96954,0.71675,0.72036,0.00022,0.00034
scedc_socal_m25,magdiff_only,1,0.97001,0.738,0.8255,0.00615,0.00692
scedc_socal_m25,no_mw_family,2,0.86925,0.02391,0.0123,0.0,0.0
comcat_himalaya_m4,full,11,0.90133,0.93481,0.99296,,
comcat_himalaya_m4,no_magdiff,10,0.90036,0.91995,0.95775,0.75297,0.75297
comcat_himalaya_m4,magdiff_only,1,0.93106,0.93833,1.0,0.00391,0.00503
comcat_himalaya_m4,no_mw_family,8,0.80138,0.85559,0.92488,0.0,0.0
