catalog,model,calibrator,mean_pred,frac_pos,count
comcat_global_m4,catboost,raw,0.0,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5453
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,1e-05,0.0,5452
comcat_global_m4,catboost,raw,0.44131,0.42975,5452
comcat_global_m4,catboost,raw,0.72738,0.71772,5452
comcat_global_m4,catboost,raw,0.79562,0.75,5452
comcat_global_m4,catboost,raw,0.83166,0.79916,5452
comcat_global_m4,catboost,raw,0.85497,0.8318,5452
comcat_global_m4,catboost,raw,0.87343,0.85363,5452
comcat_global_m4,catboost,raw,0.89681,0.88628,5452
comcat_global_m4,catboost,raw,0.93087,0.93599,5452
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5453
comcat_global_m4,catboost,platt,0.0,0.0,5452
comcat_global_m4,catboost,platt,0.0,0.0,5452
comcat_global_m4,catboost,platt,1e-05,0.0,5452
comcat_global_m4,catboost,platt,1e-05,0.0,5452
comcat_global_m4,catboost,platt,0.41812,0.42975,5452
comcat_global_m4,catboost,platt,0.70628,0.71772,5452
comcat_global_m4,catboost,platt,0.77979,0.75,5452
comcat_global_m4,catboost,platt,0.81891,0.79916,5452
comcat_global_m4,catboost,platt,0.84425,0.8318,5452
comcat_global_m4,catboost,platt,0.86434,0.85363,5452
comcat_global_m4,catboost,platt,0.88978,0.88628,5452
comcat_global_m4,catboost,platt,0.92672,0.93599,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5453
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.0,0.0,5452
comcat_global_m4,catboost,isotonic,0.43061,0.42883,5452
comcat_global_m4,catboost,isotonic,0.71428,0.71809,5452
comcat_global_m4,catboost,isotonic,0.75548,0.75128,5452
comcat_global_m4,catboost,isotonic,0.80917,0.79824,5452
comcat_global_m4,catboost,isotonic,0.84848,0.83144,5452
comcat_global_m4,catboost,isotonic,0.86188,0.85363,5452
comcat_global_m4,catboost,isotonic,0.89509,0.88793,5452
comcat_global_m4,catboost,isotonic,0.94207,0.93489,5452
comcat_global_m4,catboost,temperature,1e-05,0.0,5453
comcat_global_m4,catboost,temperature,1e-05,0.0,5453
comcat_global_m4,catboost,temperature,1e-05,0.0,5453
comcat_global_m4,catboost,temperature,1e-05,0.0,5452
comcat_global_m4,catboost,temperature,1e-05,0.0,5452
comcat_global_m4,catboost,temperature,2e-05,0.0,5452
comcat_global_m4,catboost,temperature,2e-05,0.0,5452
comcat_global_m4,catboost,temperature,0.43876,0.42975,5452
comcat_global_m4,catboost,temperature,0.71756,0.71772,5452
comcat_global_m4,catboost,temperature,0.78423,0.75,5452
comcat_global_m4,catboost,temperature,0.82005,0.79916,5452
comcat_global_m4,catboost,temperature,0.84349,0.8318,5452
comcat_global_m4,catboost,temperature,0.86223,0.85363,5452
comcat_global_m4,catboost,temperature,0.88626,0.88628,5452
comcat_global_m4,catboost,temperature,0.92202,0.93599,5452
comcat_global_m4,xgboost,raw,4e-05,0.0,5453
comcat_global_m4,xgboost,raw,4e-05,0.0,5453
comcat_global_m4,xgboost,raw,5e-05,0.0,5453
comcat_global_m4,xgboost,raw,5e-05,0.0,5452
comcat_global_m4,xgboost,raw,5e-05,0.0,5452
comcat_global_m4,xgboost,raw,6e-05,0.0,5452
comcat_global_m4,xgboost,raw,8e-05,0.0,5452
comcat_global_m4,xgboost,raw,0.42581,0.41856,5452
comcat_global_m4,xgboost,raw,0.73237,0.7245,5452
comcat_global_m4,xgboost,raw,0.79236,0.75569,5452
comcat_global_m4,xgboost,raw,0.82908,0.79732,5452
comcat_global_m4,xgboost,raw,0.85202,0.82887,5452
comcat_global_m4,xgboost,raw,0.86781,0.85913,5452
comcat_global_m4,xgboost,raw,0.8877,0.89032,5452
comcat_global_m4,xgboost,raw,0.91643,0.92993,5452
comcat_global_m4,xgboost,platt,2e-05,0.0,5453
comcat_global_m4,xgboost,platt,2e-05,0.0,5453
comcat_global_m4,xgboost,platt,3e-05,0.0,5453
comcat_global_m4,xgboost,platt,3e-05,0.0,5452
comcat_global_m4,xgboost,platt,3e-05,0.0,5452
comcat_global_m4,xgboost,platt,4e-05,0.0,5452
comcat_global_m4,xgboost,platt,5e-05,0.0,5452
comcat_global_m4,xgboost,platt,0.40502,0.41856,5452
comcat_global_m4,xgboost,platt,0.71539,0.7245,5452
comcat_global_m4,xgboost,platt,0.78028,0.75569,5452
comcat_global_m4,xgboost,platt,0.82006,0.79732,5452
comcat_global_m4,xgboost,platt,0.84488,0.82887,5452
comcat_global_m4,xgboost,platt,0.86193,0.85913,5452
comcat_global_m4,xgboost,platt,0.88335,0.89032,5452
comcat_global_m4,xgboost,platt,0.91408,0.92993,5452
comcat_global_m4,xgboost,isotonic,0.0,0.0,5453
comcat_global_m4,xgboost,isotonic,0.0,0.0,5453
comcat_global_m4,xgboost,isotonic,0.0,0.0,5453
comcat_global_m4,xgboost,isotonic,0.0,0.00018,5452
comcat_global_m4,xgboost,isotonic,0.0,0.0,5452
comcat_global_m4,xgboost,isotonic,0.0,0.0,5452
comcat_global_m4,xgboost,isotonic,0.0,0.0,5452
comcat_global_m4,xgboost,isotonic,0.42271,0.4204,5452
comcat_global_m4,xgboost,isotonic,0.71469,0.72175,5452
comcat_global_m4,xgboost,isotonic,0.75858,0.75807,5452
