catalog,config,mainshock_rate,auc,f1,precision,recall,accuracy,brier,ece_raw,ece_recal,coverage,avg_set_size,rate_empty,rate_singleton,rate_both,shap_top1,flip_rate_vs_ref,shap_kendall_tau_vs_ref,shap_top5_overlap
comcat_global_m4,label_R25_T15,0.6763,0.9228,0.8919,0.883,0.9011,0.8654,0.0991,0.0087,0.0036,0.9008,1.1282,0.0,0.8718,0.1282,mag_diff_30d,0.1856,0.4545,0.8
comcat_global_m4,label_R25_T30,0.6228,0.9192,0.8702,0.8862,0.8547,0.859,0.1052,0.0162,0.0055,0.9136,1.1645,0.0,0.8355,0.1645,mag_diff_30d,0.1321,0.6727,0.8
comcat_global_m4,label_R25_T60,0.5564,0.8954,0.8309,0.8086,0.8545,0.8339,0.1254,0.0166,0.0071,0.9054,1.2333,0.0,0.7667,0.2333,mag_diff_30d,0.1388,0.6364,0.8
comcat_global_m4,label_R25_T90,0.5119,0.8836,0.7998,0.7509,0.8555,0.816,0.1342,0.0181,0.0132,0.9043,1.2493,0.0,0.7507,0.2493,mag_diff_30d,0.1493,0.6,0.8
comcat_global_m4,label_R50_T15,0.5684,0.9334,0.8833,0.8619,0.9057,0.8809,0.091,0.0099,0.0037,0.9133,1.1471,0.0,0.8529,0.1471,mag_diff_30d,0.0777,0.7818,1.0
comcat_global_m4,label_R50_T30,0.4907,0.9431,0.8904,0.8093,0.9897,0.8993,0.0769,0.0088,0.004,0.9102,1.0988,0.0,0.9012,0.0988,mag_diff_30d,0.0,1.0,1.0
comcat_global_m4,label_R50_T60,0.4038,0.9164,0.7844,0.6805,0.9256,0.8337,0.1064,0.0235,0.0115,0.9148,1.1857,0.0,0.8143,0.1857,mag_diff_30d,0.0869,0.5636,0.8
comcat_global_m4,label_R50_T90,0.3519,0.9042,0.711,0.6336,0.8098,0.818,0.1121,0.0257,0.0154,0.9123,1.2058,0.0,0.7942,0.2058,mag_diff_30d,0.1388,0.5636,0.8
comcat_global_m4,label_R75_T15,0.4953,0.9104,0.825,0.763,0.8979,0.8403,0.1149,0.0115,0.0059,0.9055,1.1867,0.0,0.8133,0.1867,mag_diff_30d,0.1064,0.7091,0.8
comcat_global_m4,label_R75_T30,0.4063,0.9193,0.7862,0.6865,0.9198,0.8349,0.105,0.0194,0.0097,0.9126,1.1712,0.0,0.8288,0.1712,mag_diff_30d,0.0844,0.7091,0.8
comcat_global_m4,label_R75_T60,0.3161,0.9055,0.6819,0.6263,0.7482,0.8293,0.109,0.034,0.0178,0.9093,1.198,0.0,0.802,0.198,mag_diff_30d,0.1746,0.5636,0.8
comcat_global_m4,label_R75_T90,0.267,0.9013,0.6284,0.5662,0.7059,0.8333,0.1046,0.0476,0.0245,0.9098,1.2269,0.0,0.7731,0.2269,mag_diff_30d,0.2237,0.5273,0.6
comcat_global_m4,label_R100_T15,0.4388,0.8987,0.7661,0.6913,0.859,0.8113,0.1238,0.0172,0.0101,0.905,1.2094,0.0,0.7906,0.2094,mag_diff_30d,0.1372,0.6727,0.8
comcat_global_m4,label_R100_T30,0.3455,0.9104,0.7163,0.6454,0.8046,0.8277,0.1095,0.0305,0.0165,0.909,1.1866,0.0,0.8134,0.1866,mag_diff_30d,0.1452,0.7818,0.8
comcat_global_m4,label_R100_T60,0.2588,0.9071,0.635,0.5671,0.7214,0.8394,0.1003,0.0447,0.0242,0.9061,1.1844,0.0,0.8156,0.1844,mag_diff_30d,0.2319,0.4909,0.8
comcat_global_m4,label_R100_T90,0.2136,0.9049,0.5788,0.5058,0.6764,0.8477,0.0934,0.0593,0.0302,0.9055,1.1975,0.0,0.8025,0.1975,mag_diff_30d,0.2771,0.4909,0.8
comcat_global_m4,label_adaptive,0.4033,0.8839,0.7472,0.6985,0.8031,0.8104,0.1289,0.0182,0.0114,0.9062,1.2399,0.0,0.7601,0.2399,mag_diff_30d,0.1577,0.5273,0.6
scedc_socal_m25,label_R25_T15,0.2648,0.9466,0.7861,0.7676,0.8054,0.8816,0.0826,0.0128,0.0115,0.9041,1.0625,0.0,0.9375,0.0625,local_count_7d,0.1452,0.4,1.0
scedc_socal_m25,label_R25_T30,0.2058,0.9467,0.7639,0.7588,0.7692,0.8987,0.075,0.0146,0.0138,0.8991,1.067,0.0,0.933,0.067,local_count_7d,0.0863,0.4,1.0
scedc_socal_m25,label_R25_T60,0.1492,0.938,0.6594,0.683,0.6374,0.8947,0.0717,0.0112,0.0079,0.9187,1.1323,0.0,0.8677,0.1323,mag_diff_30d,0.0764,0.6,1.0
scedc_socal_m25,label_R25_T90,0.1196,0.9376,0.6085,0.6635,0.5619,0.907,0.0642,0.0108,0.0083,0.8988,1.1152,0.0,0.8848,0.1152,mag_diff_30d,0.0739,0.8,1.0
scedc_socal_m25,label_R50_T15,0.1786,0.9594,0.7684,0.7524,0.7852,0.9096,0.0644,0.0137,0.0126,0.8905,0.9994,0.0006,0.9994,0.0,local_count_7d,0.0591,0.2,1.0
scedc_socal_m25,label_R50_T30,0.1195,0.9724,0.7505,0.6985,0.811,0.9296,0.0446,0.014,0.0088,0.9144,0.9772,0.0228,0.9772,0.0,mag_diff_30d,0.0,1.0,1.0
scedc_socal_m25,label_R50_T60,0.0748,0.9628,0.5979,0.628,0.5705,0.934,0.0448,0.0183,0.0134,0.8969,0.9965,0.0035,0.9965,0.0,mag_diff_30d,0.0447,0.8,1.0
scedc_socal_m25,label_R50_T90,0.056,0.9615,0.5394,0.61,0.4834,0.9454,0.0384,0.0143,0.0095,0.8903,1.0,0.0,1.0,0.0,mag_diff_30d,0.0635,0.8,1.0
scedc_socal_m25,label_R75_T15,0.1255,0.9501,0.6371,0.691,0.5911,0.9055,0.0623,0.0183,0.0103,0.8962,1.0572,0.0,0.9428,0.0572,local_count_7d,0.0624,0.2,1.0
scedc_socal_m25,label_R75_T30,0.0763,0.9672,0.6245,0.6636,0.5897,0.9376,0.0426,0.0139,0.0065,0.8966,0.9997,0.0003,0.9997,0.0,mag_diff_30d,0.0433,1.0,1.0
scedc_socal_m25,label_R75_T60,0.0434,0.9646,0.5599,0.6081,0.5187,0.9587,0.031,0.0146,0.0099,0.9033,1.0223,0.0,0.9777,0.0223,mag_diff_30d,0.0761,0.8,1.0
scedc_socal_m25,label_R75_T90,0.0304,0.9673,0.5241,0.5841,0.4753,0.9669,0.0249,0.0126,0.0079,0.9299,1.0492,0.0,0.9508,0.0492,mag_diff_30d,0.0892,0.6,1.0
scedc_socal_m25,label_R100_T15,0.0917,0.9501,0.5888,0.6871,0.5151,0.927,0.0516,0.0147,0.0074,0.8969,1.0745,0.0,0.9255,0.0745,mag_diff_30d,0.0709,0.4,1.0
scedc_socal_m25,label_R100_T30,0.0522,0.9668,0.5907,0.6243,0.5606,0.9522,0.0344,0.015,0.0078,0.8944,0.9999,0.0001,0.9999,0.0,mag_diff_30d,0.0673,0.8,1.0
scedc_socal_m25,label_R100_T60,0.0274,0.9732,0.578,0.5943,0.5625,0.9731,0.0205,0.0112,0.007,0.9121,1.0276,0.0,0.9724,0.0276,mag_diff_30d,0.0921,0.6,1.0
scedc_socal_m25,label_R100_T90,0.0193,0.975,0.506,0.503,0.509,0.9758,0.0169,0.0087,0.0055,0.9102,1.0,0.0,1.0,0.0,mag_diff_30d,0.1003,0.6,1.0
scedc_socal_m25,label_adaptive,0.2844,0.949,0.8026,0.752,0.8605,0.8843,0.0802,0.0134,0.0062,0.896,1.0298,0.0,0.9702,0.0298,local_count_7d,0.177,0.0,1.0
comcat_himalaya_m4,label_R25_T15,0.7843,0.9128,0.9378,0.9351,0.9405,0.9081,0.0757,0.0454,0.0452,0.8642,1.6266,0.0,0.3734,0.6266,mag_diff_30d,0.0975,0.6,0.8
comcat_himalaya_m4,label_R25_T30,0.755,0.8983,0.9212,0.9157,0.9268,0.8897,0.0859,0.0384,0.0557,0.9194,1.5233,0.0,0.4767,0.5233,mag_diff_30d,0.0682,0.7455,0.8
comcat_himalaya_m4,label_R25_T60,0.7163,0.8777,0.9085,0.8745,0.9453,0.8769,0.1045,0.0443,0.06,0.8911,1.4809,0.0,0.5191,0.4809,mag_diff_30d,0.0877,0.6,0.6
comcat_himalaya_m4,label_R25_T90,0.6892,0.8294,0.8735,0.8048,0.9551,0.8345,0.1324,0.0728,0.0753,0.901,1.4639,0.0,0.5361,0.4639,mag_diff_30d,0.1034,0.7091,0.6
comcat_himalaya_m4,label_R50_T15,0.7359,0.9057,0.9253,0.9004,0.9516,0.8967,0.0772,0.0432,0.0484,0.9123,1.5219,0.0,0.4781,0.5219,mag_diff_30d,0.049,0.6727,0.8
comcat_himalaya_m4,label_R50_T30,0.6868,0.9006,0.9348,0.8831,0.993,0.9165,0.0739,0.0364,0.0475,0.959,1.5644,0.0,0.4356,0.5644,mag_diff_30d,0.0,1.0,1.0
comcat_himalaya_m4,label_R50_T60,0.6189,0.8384,0.8592,0.7611,0.9863,0.8331,0.1299,0.0525,0.0451,0.9293,1.5106,0.0,0.4894,0.5106,mag_diff_30d,0.0679,0.7455,0.8
comcat_himalaya_m4,label_R50_T90,0.576,0.8245,0.8175,0.7002,0.982,0.7935,0.1483,0.0663,0.0477,0.9349,1.5177,0.0,0.4823,0.5177,mag_diff_30d,0.1108,0.6,0.6
comcat_himalaya_m4,label_R75_T15,0.703,0.8456,0.8853,0.8196,0.9624,0.8501,0.119,0.0658,0.0725,0.9194,1.5474,0.0,0.4526,0.5474,mag_diff_30d,0.0684,0.8545,1.0
comcat_himalaya_m4,label_R75_T30,0.6331,0.862,0.8561,0.7579,0.9836,0.8289,0.1234,0.0364,0.0449,0.9463,1.4342,0.0,0.5658,0.4342,mag_diff_30d,0.0537,0.6727,1.0
comcat_himalaya_m4,label_R75_T60,0.5448,0.8336,0.7728,0.6529,0.9467,0.7638,0.1546,0.057,0.042,0.9236,1.4413,0.0,0.5587,0.4413,mag_diff_30d,0.142,0.7455,0.8
comcat_himalaya_m4,label_R75_T90,0.4849,0.8479,0.7197,0.6175,0.8626,0.7511,0.1523,0.0594,0.0528,0.9731,1.5205,0.0,0.4795,0.5205,mag_diff_30d,0.2019,0.6364,0.8
comcat_himalaya_m4,label_R100_T15,0.6692,0.8309,0.85,0.7711,0.9468,0.8133,0.1409,0.0614,0.0569,0.8784,1.3112,0.0,0.6888,0.3112,mag_diff_30d,0.0936,0.8182,1.0
comcat_himalaya_m4,label_R100_T30,0.5868,0.8699,0.7995,0.679,0.972,0.7779,0.1423,0.0634,0.0524,0.9618,1.5898,0.0,0.4102,0.5898,mag_diff_30d,0.1,0.7091,0.8
comcat_himalaya_m4,label_R100_T60,0.4854,0.8314,0.6932,0.5677,0.8898,0.727,0.1629,0.0795,0.0428,0.9463,1.4639,0.0,0.5361,0.4639,mag_diff_30d,0.2015,0.5636,0.6
comcat_himalaya_m4,label_R100_T90,0.4214,0.8423,0.6409,0.5355,0.7981,0.7369,0.1547,0.0865,0.0701,0.8911,1.3154,0.0,0.6846,0.3154,mag_diff_30d,0.2654,0.5273,0.6
comcat_himalaya_m4,label_adaptive,0.638,0.8103,0.8712,0.7942,0.9646,0.8402,0.1375,0.0762,0.0669,0.9477,1.57,0.0,0.43,0.57,mag_diff_30d,0.1002,0.6,0.8
